"evaluation of sin","difference from sin","relative error"
"0.15643446504026784","-6.2450045135165055e-15","-3.9920899220697486e-14"
"0.20278729535655882","2.8588242884097781e-15","1.4097649871917159e-14"
"0.24868988716489451","-3.8302694349567901e-15","-1.5401790071250708e-14"
"0.29404032523234985","2.3314683517128287e-15","7.9290769042325318e-15"
"0.33873792024533234","-2.55351295663786e-15","-7.5383144431791055e-15"
"0.38268343236513591","2.886579864025407e-15","7.5429966909861143e-15"
"0.42577929156512317","7.6050277186823223e-15","1.7861431660349469e-14"
"0.46792981426061553","-3.3306690738754696e-16","-7.1178817257847067e-16"
"0.50904141575041228","-8.8817841970012523e-16","-1.7448058099374881e-15"
"0.54902281799817532","2.3314683517128287e-15","4.246578239159064e-15"
"0.58778525229251444","8.8817841970012523e-16","1.511059381357394e-15"
"0.62524265633574638","1.7763568394002505e-15","2.841067898039217e-15"
"0.66131186532369368","3.4416913763379853e-15","5.2043393696760478e-15"
"0.69591279659235528","3.7747582837255322e-15","5.4241828893063049e-15"
"0.72896862742145141","3.8857805861880479e-15","5.330518269260872e-15"
"0.76040596560006912","3.6637359812630166e-15","4.8181315599908821e-15"
"0.79015501237572239","-8.8817841970012523e-16","-1.1240559204069078e-15"
"0.81814971742505527","5.5511151231257827e-16","6.7849624645678417e-16"
"0.84432792550204172","-2.7755575615628914e-15","-3.2872980719102964e-15"
"0.86863151443821685","-1.8873791418627661e-15","-2.1728190958894867e-15"
"0.89100652418839321","-1.1102230246251565e-16","-1.2460324301625567e-16"
"0.91140327663546639","-2.2204460492503131e-15","-2.4362936870792253e-15"
"0.92977648588827111","-1.4432899320127035e-15","-1.5522977338299108e-15"
"0.94608535882756117","-2.886579864025407e-15","-3.0510776190454952e-15"
"0.96029368567696105","1.6653345369377348e-15","1.7341929471958953e-15"
"0.9723699203976921","1.6653345369377348e-15","1.7126553403221566e-15"
"0.98228725072869705","-2.886579864025407e-15","-2.9386310998987584e-15"
"0.99002365771656764","1.5543122344752192e-15","1.5699748408640587e-15"
"0.99556196460308588","1.1102230246251565e-16","1.1151721983149329e-16"
"0.99888987496197357","6.6613381477509392e-16","6.6687412844229018e-16"
"1.0000000000000004","4.4408920985006262e-16","4.4408920985006262e-16"
"0.99888987496196802","9.9920072216264089e-16","1.0003111926634412e-15"
"0.99556196460307245","-1.5543122344752192e-15","-1.5612410776409244e-15"
"0.99002365771654832","-2.2204460492503131e-16","-2.2428212012344094e-16"
"0.98228725072867629","-2.2204460492503131e-16","-2.2604854614606374e-16"
"0.97236992039766024","-1.1102230246251565e-15","-1.1417702268814719e-15"
"0.96029368567692563","9.9920072216264089e-16","1.0405157683175748e-15"
"0.94608535882752287","-8.8817841970012523e-16","-9.3879311355250004e-16"
"0.9297764858882267","1.1102230246251565e-16","1.1940751798692211e-16"
"0.91140327663541842","1.1102230246251565e-15","1.2181468435396813e-15"
"0.89100652418833659","-1.1102230246251565e-16","-1.2460324301626359e-16"
"0.86863151443815712","2.2204460492503131e-16","2.5562577598701665e-16"
"0.84432792550197799","3.3306690738754696e-16","3.9447576862926679e-16"
"0.81814971742498277","-2.2204460492503131e-16","-2.7139849858273748e-16"
"0.79015501237564689","1.1102230246251565e-16","1.4050699005087708e-16"
"0.76040596559998419","-2.2204460492503131e-16","-2.9200797333281185e-16"
"0.72896862742136248","4.4408920985006262e-16","6.0920208791559967e-16"
"0.6959127965922618","-2.2204460492503131e-16","-3.1906958172394132e-16"
